,longitude___ethiopia_2015,owns_land_certificate___policy___ethiopia_2015,lives_in_afar___ethiopia_2015,productivity___output___ethiopia_2015,lives_in_harari___ethiopia_2015,household_head_is_widowed___ethiopia_2015,rooting_conditions_:_moderate_constraint___ethiopia_2015,lives_in_dire_dawa___ethiopia_2015,quantity_of_improved_seeds_used___policy___ethiopia_2015,amount_of_assistance_received___policy___ethiopia_2015,food_expenditure_diversification___output___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,uses_credit___policy___ethiopia_2015,household_head_is_monogamous___ethiopia_2015,household_head_age___ethiopia_2015,price_rise_of_food_item___policy___ethiopia_2015,number_of_water_storage_pit_owned___policy___ethiopia_2015,number_of_droughts___ethiopia_2015,household_head_is_separated___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,lives_in_snnp___ethiopia_2015,children_education___output___ethiopia_2015,number_of_hired_workers___policy___ethiopia_2015,latitude___ethiopia_2015,weight___ethiopia_2015,household_head_is_female___ethiopia_2015,crop_diversification___policy___ethiopia_2015,distance_to_market___ethiopia_2015,no_food_deficiency___output___ethiopia_2015,household_size___ethiopia_2015,rooting_conditions_:_mainly_non-soil___ethiopia_2015,prevent_damage___policy___ethiopia_2015,has_borrowed___policy___ethiopia_2015,household_head_is_divorced___ethiopia_2015,attended_school___ethiopia_2015,household_head_is_polygamous___ethiopia_2015,average_precipitation___ethiopia_2015,heavy_rains_preventing_work___ethiopia_2015,lives_in_somalie___ethiopia_2015,lives_in_benishangul_gumuz___ethiopia_2015,number_of_pick_axe_owned___policy___ethiopia_2015,household_head_never_married___ethiopia_2015,rooting_conditions_:_no_or_slight_constraint___ethiopia_2015,number_of_axe_owned___policy___ethiopia_2015,illness_of_household_member___policy___ethiopia_2015,household_head_is_male___ethiopia_2015,has_saved___policy___ethiopia_2015,has_a_bank_account___policy___ethiopia_2015,lives_in_amhara___ethiopia_2015,expenditure___output___ethiopia_2015,percentage_of_damaged_crop___policy___ethiopia_2015,increase_in_price_of_inputs___policy___ethiopia_2015,lives_in_oromiya___ethiopia_2015,distance_to_road___ethiopia_2015,lives_in_tigray___ethiopia_2015,crop_sales___output___ethiopia_2015,elevation___ethiopia_2015,variations_in_greenness___ethiopia_2015,rural_household___ethiopia_2015,has_medical_assistance___output___ethiopia_2015,lives_in_gambella___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,rooting_conditions_:_severe_constraint___ethiopia_2015,uses_extension_program___policy___ethiopia_2015,distance_to_population_center___ethiopia_2015,rooting_conditions_:_very_severe_constraint___ethiopia_2015,number_of_sickle_owned___policy___ethiopia_2015,land_surface___ethiopia_2015,literacy___ethiopia_2015,uses_irrigation___policy___ethiopia_2015,average_temperature___ethiopia_2015
crop_sales___output___ethiopia_2015,0.21588501034308,-0.007192826459149,0.045182876008389,0.719972956555036,0.271430531260334,-0.09886860457956,0.022890496318802,-0.033522916415116,0.060748406559042,0.002881090640093,0.046713292038441,0.142230782197331,0.035704502051978,0.088316140449948,-0.060639845322853,0.004885335121623,0.087591239523429,0.101602773114723,-0.004572369485864,0.16009400086711,-0.162830889399484,0.010529534379844,0.273817561443766,0.058105141044883,-0.027268859928489,-0.125541379054496,-0.027518497120338,-0.184393695175423,0.173538604424054,0.14257335037494,-0.049700811079599,0.153132869059759,0.018536354897904,-0.045992768353402,0.052649251241151,0.031333069922533,-0.229463996931762,-0.051441708329327,0.053547950354642,0.011216876799291,-0.006040833794807,0.002220684134926,0.02173940214954,0.05022636894077,-0.032900950171173,0.125541379054496,0.102377795599908,-0.010440964069554,-0.050486722045912,0.273243779717939,0.003898148627197,0.00625675545005,0.044592760875944,-0.068745595560927,0.040852448067662,1,-0.152306491445563,-0.081168241245498,0.079145477576262,0.061532035859561,0.011232163128315,0.157044625359596,-0.054834098696526,0.129810631867239,-0.101733519414228,0.011100128841941,0.042578843835159,0.272503114436671,0.082704928102924,0.103023792295592,0.122083625012493
productivity___output___ethiopia_2015,0.224086806532001,-0.083866810699307,0.016092569904546,1,0.294733283215749,0.00561024347638,0.021193593007826,0.0023186531714,-0.053473322112481,0.027914938977871,0.003553789313022,-0.14276039665827,-0.075538646976222,-0.013820105578879,-0.082624248976881,0.07905383962382,0.027679167942981,0.132308221296973,0.000963308180655,-0.113472098106425,0.06448575334679,-0.003361972394052,0.107589656557121,-0.118393967062309,-0.132343050609737,0.039124167011527,0.055270956075343,-0.171456216354952,0.021412938938334,-0.043532008046217,-0.063058293935203,-0.057569734125188,-0.030855202797226,0.047651949292337,0.042810566316969,-0.027307195875566,-0.180957422438526,-0.049813956464857,0.045966271577363,-0.031808393418379,-0.069558763304033,-0.005317384013927,-0.00253473600764,0.003021222991108,-0.004248967209651,-0.039124167011527,0.102707367151868,-0.015855464044188,-0.148132840892907,0.007908982208572,-0.062040416854509,-0.067610709525779,-0.11441746150797,-0.144821886421863,0.002654590208288,0.719972956555036,-0.141245398249925,-0.177841187079466,-0.020397552523062,0.01241749952098,0.063653549250011,-0.244836569886621,-0.058061256837188,-0.064664888213515,-0.231591385741145,0.055353734365225,-0.193796439181434,-0.401116685940524,0.036658491000815,0.093037319430785,0.091320417930689
number_of_hired_workers___policy___ethiopia_2015,0.005077018292808,-0.006450034290608,-0.045907866015325,0.107589656557121,0.079342327450357,-0.038155432430939,-0.048075886904779,-0.067862561517313,0.114399538356677,-0.082815525097846,0.06731944305657,0.066177238793495,0.03097816841736,0.042216327884502,-0.021735894480939,-0.029673684027815,0.077933893299779,0.025328121427169,-0.023338129962374,0.112669783871967,-0.019601962388104,0.013583384925259,1,0.002321148557478,-0.004394973004792,-0.054540832754503,-0.005377827602714,-0.037327184893345,0.109708526220592,0.013749728009737,0.05141352891978,0.063891256332213,0.007140740976706,-0.027547919739085,0.077850690610294,0.02302039961998,-0.02994882945538,-0.01800840290379,0.110196348712377,0.051028823176297,0.044041836168763,-0.005145706105532,0.066254888715577,0.07435496470245,-0.009512144821783,0.054540832754503,0.08970700213714,0.04372592641505,-0.062520298130349,0.167694975914862,0.044791881717388,0.058341718659901,0.001232153930173,-0.04458088206237,0.024051778278184,0.273817561443766,-0.102433951639648,0.021404220243239,-0.010249303223337,0.096066840879312,-0.017908883202396,0.073965477407922,-0.073119159296342,0.116217712248681,-0.041413166699165,0.002902800563465,0.069498265759777,0.208376409753948,0.103798541590244,0.018512823811384,0.073239647088779
expenditure___output___ethiopia_2015,0.061111615909374,0.03519809904716,0.062944514287631,0.007908982208572,-0.005303106584041,-0.234938489018091,0.014028011250072,0.020174475274794,0.166547774507477,-0.048526890347124,0.074488657565749,0.157898181753964,0.081302178673339,0.235993523949751,-0.11867886811969,0.009451157699304,0.071915687311822,-0.032111972762653,-0.031568075484267,0.185618947833706,-0.07492621473854,0.140637072832165,0.167694975914862,0.017883221062027,0.058160802265524,-0.226390755613117,0.010745418609168,-0.07748999045073,0.228297379185639,0.360703866265789,0.0001662259722,0.17238730991592,0.117880661051912,-0.12896724207235,0.264101864874068,0.076609380973204,-0.039578972506405,-0.013723197280151,0.094236777522308,-0.024735683468643,0.09445026641643,-0.005498279146363,0.019747326339352,0.080687794156996,0.030023978044183,0.226390755613117,0.101165415996617,0.129431796593333,-0.071598416944253,1,-0.024780393885708,0.00420078972437,0.061481957554449,-0.03343676833909,0.00387671650826,0.273243779717939,-0.011460276263653,0.027079388868632,-0.099293618611386,0.068414784956755,0.025473876416053,0.224447223591276,-0.026453047687818,0.131326796315673,-0.013649200689763,-0.017238033178437,0.132000413756733,0.263842155314636,0.305075596281277,0.076769473020501,-0.006568869798765
land_surface___ethiopia_2015,-0.106380099257839,0.144182007539899,-0.092626148723998,-0.401116685940524,-0.026693248392406,-0.178925827630201,0.009548394556852,-0.029680700989884,0.191284214089654,-0.117130173757114,0.004182280994762,0.490794458422286,0.214039263188956,0.264080421357545,0.049343466006575,-0.133846387532539,0.088523510532043,-0.063132116438024,-0.080300036664213,0.45449544968138,-0.09901859692627,-0.034453448534802,0.208376409753948,0.090587245011009,0.215024161719004,-0.304345022966481,0.013749616744917,-0.02976180981847,0.13922877138916,0.329991280439241,-0.008286421548816,0.275420014234367,0.076545168764026,-0.163860079164966,-0.031422213385385,0.030206975223832,0.101283154249381,0.015831065116577,-0.065649898225025,0.034270623525056,0.20346392475187,-0.094581007786303,0.065227973868398,0.155927240346837,-0.068601136336815,0.304345022966481,-0.055059136815226,-0.096370221125653,0.056371517529527,0.263842155314636,0.067090455372461,0.127418672131712,0.148778551748059,0.079369187779782,0.023193585314097,0.272503114436671,0.039832029004073,0.15869911095316,0.303077906893484,0.015047823207921,-0.070923506214254,0.586814204331756,-0.055764794130716,0.345154043410955,0.024911320372544,-0.041897638617571,0.400073215909196,1,0.014473693095891,0.023887343990134,-0.027486014919577
lives_in_harari___ethiopia_2015,0.285779970267986,-0.043473067344995,-0.033806818181818,0.294733283215749,1,-0.015275784579207,0.032425324013781,-0.033659692185234,-0.01718954182192,0.002436766401957,0.052485801307651,0.005543898829491,-0.049623149869942,0.02705805567939,-0.000244194394611,0.092196538552321,0.07981183254821,0.157027156868802,0.014545057245462,0.057307307400001,-0.107964026891369,-0.029108589214469,0.079342327450357,0.006283432235108,-0.296000654910095,-0.026481923092224,0.126805162610561,-0.290524167768864,0.057047466957243,0.034011026072198,-0.03917226472492,-0.032437020915649,-0.025145261527987,-0.011230763882287,-0.009713550894366,-0.027610224340901,-0.18710088158251,-0.020454994530676,-0.047090229183418,-0.034389849202978,-0.025634443094011,-0.004412960975262,0.065782659002698,-0.11105285072279,-0.000594342491813,0.026481923092224,0.129048894710612,-0.021369466651612,-0.096116191421238,-0.005303106584041,0.065039280825841,0.05023200689396,-0.092816538798902,-0.13365458884533,-0.062968732452246,0.271430531260334,-0.023045780853097,-0.071914951293929,0.066146582098739,0.053433962284694,-0.031065898685765,-0.100571946183407,-0.028107260778404,0.08920016359266,-0.273067003247463,-0.074990893969346,-0.102710179591535,-0.026693248392406,-0.016502635550886,0.115622794228964,0.021703615162944
longitude___ethiopia_2015,1,-0.097662182699416,0.222833864010098,0.224086806532001,0.285779970267986,0.0328222031427,0.037321055933584,0.266335190693811,-0.123193589110616,0.419927165063438,-0.058428689826941,0.015533794799057,-0.109332692155754,-0.021157472210565,0.069994634730495,0.236054443660822,-0.01048016639469,0.529854250472955,0.03338532228158,-0.087399960792435,-0.3464383279364,-0.049684251023155,0.005077018292808,0.220217497638993,-0.134569095365204,0.026593331598874,-0.222982057353619,-0.226303140795198,-0.06589634463051,0.012678570449242,0.236965527269089,0.005122360565599,0.019495472739809,-0.001428398763715,-0.101751208096097,-0.028693130361926,-0.740920611942959,-0.110130002290949,0.34369483900384,-0.283434594488361,-0.214408177103735,-0.004731634348644,-0.466712507033258,-0.285502652343947,-0.039050887366563,-0.026593331598874,0.069931741790835,-0.013677251671078,0.030386536219038,0.061111615909374,0.450888602006759,-0.06595990173074,-0.036654045263075,-0.083846261394503,0.097607247172916,0.21588501034308,-0.007334418503112,-0.751618063604944,0.024725620041836,-0.036736740523506,-0.276371349092778,-0.03736962212697,0.211244134944431,-0.065320881431791,-0.107368566625661,0.268728460218413,-0.044262368477262,-0.106380099257839,-0.068567656396778,0.185676791432382,0.026073017175287
no_food_deficiency___output___ethiopia_2015,-0.06589634463051,0.091883342640206,-0.00478539489617,0.021412938938334,0.057047466957243,-0.067953634417873,0.017653299728851,-0.047169356075227,0.021597184625829,-0.227359223599137,0.089792944106828,0.113964298968575,-0.019470457304898,0.054502837675479,-0.074222805047881,-0.196486121128561,0.049231016187662,-0.285101988765389,0.003877851874687,0.085623969077415,-0.038502964810546,0.107904716027958,0.109708526220592,0.135520514961014,-0.021855340854373,-0.062707298036257,0.005966977141331,-0.046085294170689,1,-0.010608004255933,-0.01912359769852,0.069359395115849,-0.115016992618898,-0.001961845984301,0.121202551211973,-0.009207202462308,0.060319644423408,-0.050458009092125,-0.112140959261029,0.029536335501147,-0.072098748619114,0.011231618539516,-0.004747179018719,-0.044083705434233,-0.094675779037775,0.062707298036257,0.093727955903424,0.108737632624958,0.128119607560788,0.228297379185639,-0.178536536296867,-0.117718450542615,-0.082370004108083,-0.067070038860745,0.049596432435907,0.173538604424054,0.080309145709094,0.105401476643619,-0.07819657788472,0.004776570266587,0.016823953228642,0.176755857309786,-0.03753025514692,0.062729176606483,-0.042054070228261,0.036764875364133,0.065275200954852,0.13922877138916,0.128873556767325,0.047145840776933,-0.062054049888293
quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,-0.087399960792435,0.28200857413764,-0.147647976424823,-0.113472098106425,0.057307307400001,-0.085053254848975,0.041439349443564,-0.14393116019501,0.413380432276747,-0.174185582157901,0.069747555373905,0.398579698687461,0.319513027075529,0.179436102827765,0.015149109964815,-0.159705012005026,0.088851186047096,-0.129862294407183,-0.044376408496608,1,0.005641982629209,0.054500831343185,0.112669783871967,0.080010575514379,0.339089099794648,-0.147536380550393,0.0114412090916,-0.072225263080488,0.085623969077415,0.164538780946329,-0.106239566920291,0.398256434064076,0.076311089664493,-0.114671033733379,0.013262213431321,-0.052201655712683,0.170874751111585,0.049602786268091,-0.198390689861246,-0.064296437624424,0.088092456982849,-0.054486202004097,0.123770735356522,-0.009823986340227,-0.078265269160039,0.147536380550393,-0.028408447515402,-0.025107199277147,0.066112944803967,0.185618947833706,-0.096124096880041,0.216633426852681,0.16422441440035,-0.089168576950742,0.083493718995086,0.16009400086711,0.349215938982758,0.23199546706754,0.22318172012213,-0.010419084526747,-0.136012737473887,0.426047026842277,-0.092789311287852,0.70492632906519,-0.197928784510096,-0.059287140144403,0.377015402303322,0.45449544968138,0.048100083908609,0.071599292171008,-0.340042725893627
number_of_oxen_owned___policy___ethiopia_2015,-0.03736962212697,0.159665885721747,-0.056305153658289,-0.244836569886621,-0.100571946183407,-0.137578135599878,0.058584727953188,-0.074929476710296,0.178498493003033,-0.090579433680214,-0.007010394751577,0.529833109131787,0.169887753469647,0.211790289293288,0.03544649969457,-0.090514065527548,0.053148650020251,-0.094285755355735,-0.047495754248838,0.426047026842277,-0.053619491292532,-0.015933674682825,0.073965477407922,0.085565872320896,0.226679066746028,-0.242619332656701,-0.054010753148142,0.040786864988828,0.176755857309786,0.256324479788908,-0.024503344974182,0.311303276500829,0.015249437417143,-0.151644400671358,-0.003983962263786,0.003156998987787,0.063682927731536,-0.003066946871368,-0.094930744676669,-0.059327355676574,0.10963989145181,-0.037479842577658,-0.004590169574574,0.10308466772245,-0.027780631950775,0.242619332656701,-0.096761903144661,-0.05918178851854,0.100937289135952,0.224447223591276,0.00690436825985,0.065853692443118,0.131669174855044,0.049194567285977,0.059706839267026,0.157044625359596,0.135747521784787,0.08990300732041,0.19016423343285,0.002172723337843,-0.107575485243843,1,-0.033370818809551,0.342229133386624,0.037701988556696,-0.00368484576209,0.3674807047541,0.586814204331756,0.033581265524241,0.004032955811522,-0.120301918767399
prevent_damage___policy___ethiopia_2015,0.005122360565599,0.115163512250151,0.058034534419969,-0.057569734125188,-0.032437020915649,-0.046568576957418,-0.004721734035532,-0.113035616945932,0.19423642324797,-0.043662105947363,0.066475991429346,0.194170898778771,0.181288436861215,0.077795967535003,-0.025445302168189,-0.068650392347788,0.053664190085627,-0.084078866821782,-0.007906061700026,0.398256434064076,-0.05418229352073,0.010301740645584,0.063891256332213,-0.022471995950809,0.182594070737735,-0.073670149746178,-0.09176855327356,-0.006457112217827,0.069359395115849,0.08798283876078,-0.041831099250033,1,0.041861414783622,-0.094780612104652,0.057253859525672,0.01882666912273,0.030910552577684,-0.033142445665639,-0.105682830627035,-0.067202132992772,0.085950184930548,0.007400638051318,0.083386494778405,0.039656337601709,-0.005637263979271,0.073670149746178,-0.004707228524171,0.000871265209649,-0.003687598377739,0.17238730991592,-0.022472533638272,0.094527781900267,0.212707771156856,0.038416933879151,-0.032459682943617,0.153132869059759,0.123712145320364,0.168294785936323,0.088274174452662,0.034876203591265,0.022538050901861,0.311303276500829,0.009971493501429,0.294926721577995,-0.0436849460443,-0.101103739694781,0.165331122229351,0.275420014234367,0.056169643028103,0.010451552780352,-0.139163513722473
household_size___ethiopia_2015,0.012678570449242,0.006076333786639,0.023930386806969,-0.043532008046217,0.034011026072198,-0.324989663840817,-0.010852703181215,-0.009367009721544,0.055734218698932,0.003857479836494,-0.043597548171049,0.269232283956624,0.079255946289089,0.409257253395541,-0.045043649149929,0.019575820965074,0.043644287948261,0.049842294813802,-0.091726940785412,0.164538780946329,0.084345512405516,-0.127317180476219,0.013749728009737,-0.156654198861869,0.03712573856602,-0.396966837957912,0.082011852043243,0.054085278568646,-0.010608004255933,1,-0.001751190613609,0.08798283876078,0.094918643639779,-0.24585354972381,0.062394789618969,0.14031273907444,-0.035203455333161,0.039729802524494,0.059491692459928,-0.014785847284413,0.197585662129436,-0.161120165265616,0.028725690426139,0.241688501481987,0.018813844466084,0.396966837957912,-0.121722860918723,-0.163139062073481,-0.156666026884449,0.360703866265789,0.021131936863725,0.078353049311125,0.044950185242518,0.025735022120064,-0.034970336876642,0.14257335037494,-0.084456045830718,-0.058224914024454,0.103072757336973,-0.073750170497513,-0.00142774976592,0.256324479788908,0.008507263922832,0.12764996722692,-0.00356347954895,-0.039014096490217,0.241102339424371,0.329991280439241,0.092916267941705,0.033643908528029,0.067038550401685
number_of_plough_owned___policy___ethiopia_2015,0.015533794799057,0.179615117082733,-0.105580348479562,-0.14276039665827,0.005543898829491,-0.161799257016371,0.01534771698905,-0.003903270140663,0.125028910758386,-0.061525662722689,-0.044431600244168,1,0.172113188264345,0.258930473824396,0.053745180559475,-0.067796927862664,-0.106194733547331,0.000578849781894,-0.081083032102949,0.398579698687461,-0.044545061323285,-0.007978058941237,0.066177238793495,0.143072035380005,0.177827446413508,-0.285993950430278,-0.064377626519481,-0.021777894676432,0.113964298968575,0.269232283956624,-0.016717563559622,0.194170898778771,0.047662304044663,-0.145660778912116,-0.035570703304356,-0.002679943425376,0.023762179696495,0.018095640220429,-0.103755580733253,-0.044623101002144,0.122475900464627,-0.090065770066225,-0.059845074667465,0.081650125616646,-0.042996295636041,0.285993950430278,-0.095422775796252,-0.124912664761141,0.090878437493499,0.157898181753964,0.077715214258776,0.094359524956988,0.051818031501228,0.062976581841492,0.114806590036112,0.142230782197331,0.156238328890936,0.04747531314944,0.255499029780843,-0.016983267755532,-0.136437478130452,0.529833109131787,-0.01433126207414,0.35405727520924,-0.011825232888298,0.0950023792723,0.52532190323697,0.490794458422286,-0.002833095785224,0.068156906713191,-0.131536638307394
uses_extension_program___policy___ethiopia_2015,-0.065320881431791,0.217464425504798,-0.119098195598065,-0.064664888213515,0.08920016359266,-0.078817939108581,0.04693184433836,-0.106315124411952,0.329541149275185,-0.150057254045591,0.046569287280686,0.35405727520924,0.254462303836589,0.144733505271159,-0.002583857171322,-0.113607100611793,0.080648535642461,-0.098189077344812,-0.04026820825828,0.70492632906519,-0.019198677053113,0.032204125167912,0.116217712248681,0.119232699454391,0.212702764699724,-0.135080575451031,0.000566520690041,-0.058403504728933,0.062729176606483,0.12764996722692,-0.067430105383632,0.294926721577995,0.079868164997485,-0.08543173540175,-0.005229332899059,-0.027368940527495,0.105185407422984,0.086589271737056,-0.171194927224068,-0.084353758397033,0.060711324250412,-0.045806115452684,0.05132020691477,0.022054336928212,-0.06951768296138,0.135080575451031,0.008086139922372,-0.017025842839775,0.096313929220732,0.131326796315673,-0.024755560129258,0.184331489812953,0.036209989604765,-0.012267423111248,0.145579175530116,0.129810631867239,0.230112244186489,0.141864874776499,0.197270022168258,0.037791889957896,-0.070662537404166,0.342229133386624,-0.084364194609338,1,-0.143675785882656,0.006849138018321,0.32531247308465,0.345154043410955,0.036026906010435,0.095113160728901,-0.21940902473892
household_head_is_male___ethiopia_2015,-0.026593331598874,0.021213843537683,-0.008521977721463,-0.039124167011527,0.026481923092224,-0.605004295087485,-0.002859648806651,0.015113753537878,0.05736202894542,-0.067248368942891,-0.029476191373783,0.285993950430278,0.098020118131832,0.646654366949741,-0.118191972816854,-0.014638112145846,0.012870570470156,-0.008301069565247,-0.157805061995825,0.147536380550393,0.039187472941244,-0.07611143410076,0.054540832754503,-0.052943285997659,0.098796851440267,-1,0.053316365738545,0.000903291395299,0.062707298036257,0.396966837957912,-0.009438109457735,0.073670149746178,0.088565300239769,-0.275853864789162,0.20579803704923,0.093625728448022,0.049984715422835,0.031986867169445,-0.001509443832761,0.012492955873161,0.153788596728453,-0.033892939423358,-0.001131300531929,0.18174330034497,-0.010005138296319,1,-0.025563827370937,-0.045341910564134,-0.019875244886726,0.226390755613117,0.03015582288007,0.047423211263906,0.004679750525762,0.01439476494819,-0.054173502975253,0.125541379054496,-0.030110178306575,0.008028242190468,0.096529738032831,0.015887720285151,-0.012162295090903,0.242619332656701,0.020450410752699,0.135080575451031,-0.039657941242563,-0.013054189888955,0.208359530353926,0.304345022966481,0.259698286737882,0.045707203494879,0.017435021662523
average_temperature___ethiopia_2015,0.026073017175287,-0.304326213037839,0.285413203656344,0.091320417930689,0.021703615162944,-0.020698020391496,-0.099320095630171,0.151102320832595,-0.132682789784468,0.232891671826995,-0.061283275878792,-0.131536638307394,-0.131422639451643,-0.034995278094689,-0.049106540671174,0.101949399386237,-0.018920530485716,0.164881428716522,0.004220705426249,-0.340042725893627,-0.132596193065662,-0.089573821575231,0.073239647088779,0.031655986968099,-0.359715947170566,-0.017435021662523,0.041842388153522,0.000437624434844,-0.062054049888293,0.067038550401685,0.098392225494417,-0.139163513722473,0.021705362667596,0.016339395809744,-0.026653677155196,0.094882851573503,-0.394925715556241,-0.085260139167724,0.231836390815891,0.193699350097683,-0.029848267358974,0.007835433931018,-0.037393051148133,0.165675199011193,0.030428320844958,0.017435021662523,0.027313159593707,-0.083811647676315,-0.232058955780824,-0.006568869798765,0.225130499327906,-0.053265825357486,-0.185449482794256,0.113712797449611,0.071121959180527,0.122083625012493,-0.956441800098988,-0.162190509529452,0.045366266053126,0.149532640677521,0.20613965697743,-0.120301918767399,0.102751625376001,-0.21940902473892,0.248256277783016,-0.012117077291896,-0.12131827746245,-0.027486014919577,-0.038987630474251,0.099377425872537,1
