beta,chosen feature,u_f,sc after f,sc before f
0.0001,number_of_hired_workers___policy___ethiopia_2015,0.273819926736,0.134043992703,0
0.0001,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,0.160088139283,0.139791903764,0.134043992703
0.0001,number_of_oxen_owned___policy___ethiopia_2015,0.157053196493,0.118088354949,0.139791903764
0.0001,prevent_damage___policy___ethiopia_2015,0.153136959718,0.118521089354,0.118088354949
0.0001,number_of_plough_owned___policy___ethiopia_2015,0.142241900873,0.126001377632,0.118521089354
0.0001,uses_extension_program___policy___ethiopia_2015,0.129817360163,0.138543223772,0.126001377632
0.0001,has_saved___policy___ethiopia_2015,0.102382801805,0.143578692587,0.138543223772
0.0001,number_of_water_storage_pit_owned___policy___ethiopia_2015,0.087593352531,0.16006336709,0.143578692587
0.0001,quantity_of_improved_seeds_used___policy___ethiopia_2015,0.0607513366165,0.170113713523,0.16006336709
0.0001,number_of_axe_owned___policy___ethiopia_2015,0.0502134319266,0.194763354559,0.170113713523
0.0001,number_of_sickle_owned___policy___ethiopia_2015,0.0425788601947,0.235876317454,0.194763354559
0.0001,uses_credit___policy___ethiopia_2015,0.0357032260555,0.306426123811,0.235876317454
0.0001,illness_of_household_member___policy___ethiopia_2015,0.0329085802944,0.370853053367,0.306426123811
0.0001,has_borrowed___policy___ethiopia_2015,0.0185663792899,0.469286424699,0.370853053367
0.0001,owns_land_certificate___policy___ethiopia_2015,0.00720954828895,0.549665881507,0.469286424699
0.0001,number_of_pick_axe_owned___policy___ethiopia_2015,0.00607210430121,0.806627091234,0.549665881507
0.0001,amount_of_assistance_received___policy___ethiopia_2015,0.00288604800123,0.927454338524,0.806627091234
0.001,number_of_hired_workers___policy___ethiopia_2015,0.273941624935,0.134492696286,0
0.001,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,0.160102553795,0.139754749864,0.134492696286
0.001,number_of_oxen_owned___policy___ethiopia_2015,0.157036812831,0.118088354949,0.139754749864
0.001,prevent_damage___policy___ethiopia_2015,0.153136600796,0.11777270685,0.118088354949
0.001,number_of_plough_owned___policy___ethiopia_2015,0.142261963113,0.12609453575,0.11777270685
0.001,uses_extension_program___policy___ethiopia_2015,0.129861377899,0.136484139479,0.12609453575
0.001,has_saved___policy___ethiopia_2015,0.102396817112,0.144904688672,0.136484139479
0.001,number_of_water_storage_pit_owned___policy___ethiopia_2015,0.0875999793907,0.159991271241,0.144904688672
0.001,quantity_of_improved_seeds_used___policy___ethiopia_2015,0.0607489978037,0.170009125692,0.159991271241
0.001,number_of_axe_owned___policy___ethiopia_2015,0.0502455265877,0.180677744578,0.170009125692
0.001,number_of_sickle_owned___policy___ethiopia_2015,0.0426019939035,0.235835365373,0.180677744578
0.001,uses_credit___policy___ethiopia_2015,0.0357673237173,0.306426123811,0.235835365373
0.001,illness_of_household_member___policy___ethiopia_2015,0.0329503944554,0.371083388795,0.306426123811
0.001,has_borrowed___policy___ethiopia_2015,0.0186547389887,0.469286424699,0.371083388795
0.001,owns_land_certificate___policy___ethiopia_2015,0.0073228598492,0.550623503888,0.469286424699
0.001,number_of_pick_axe_owned___policy___ethiopia_2015,0.00630241176759,0.806627091234,0.550623503888
0.001,amount_of_assistance_received___policy___ethiopia_2015,0.00299479252379,0.927454338524,0.806627091234
0.01,number_of_hired_workers___policy___ethiopia_2015,0.274970347144,0.134492696286,0
0.01,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,0.160210557589,0.130511996267,0.134492696286
0.01,number_of_oxen_owned___policy___ethiopia_2015,0.157116528511,0.119152004174,0.130511996267
0.01,prevent_damage___policy___ethiopia_2015,0.153129700881,0.118430447885,0.119152004174
0.01,number_of_plough_owned___policy___ethiopia_2015,0.142253725954,0.125965523103,0.118430447885
0.01,uses_extension_program___policy___ethiopia_2015,0.130410625052,0.129008364964,0.125965523103
0.01,has_saved___policy___ethiopia_2015,0.102609606929,0.144904688672,0.129008364964
0.01,number_of_water_storage_pit_owned___policy___ethiopia_2015,0.087667529828,0.159971251671,0.144904688672
0.01,quantity_of_improved_seeds_used___policy___ethiopia_2015,0.0607252342039,0.166409067688,0.159971251671
0.01,number_of_axe_owned___policy___ethiopia_2015,0.0505953546016,0.180658729196,0.166409067688
0.01,number_of_sickle_owned___policy___ethiopia_2015,0.0427337484301,0.235876317454,0.180658729196
0.01,uses_credit___policy___ethiopia_2015,0.0364105521016,0.306426123811,0.235876317454
0.01,illness_of_household_member___policy___ethiopia_2015,0.0333688747869,0.371083388795,0.306426123811
0.01,has_borrowed___policy___ethiopia_2015,0.0195385663119,0.469286424699,0.371083388795
0.01,owns_land_certificate___policy___ethiopia_2015,0.00845597545176,0.550623503888,0.469286424699
0.01,number_of_pick_axe_owned___policy___ethiopia_2015,0.0086064440537,0.806627091234,0.550623503888
0.01,amount_of_assistance_received___policy___ethiopia_2015,0.0040822377494,0.927454338524,0.806627091234
0.1,number_of_hired_workers___policy___ethiopia_2015,0.287123603494,0.133791846774,0
0.1,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,0.160261545573,0.139485916805,0.133791846774
0.1,number_of_oxen_owned___policy___ethiopia_2015,0.156356410103,0.118677615431,0.139485916805
0.1,prevent_damage___policy___ethiopia_2015,0.153054060041,0.117849051399,0.118677615431
0.1,number_of_plough_owned___policy___ethiopia_2015,0.142645263934,0.125105688828,0.117849051399
0.1,uses_extension_program___policy___ethiopia_2015,0.134216292091,0.132951384893,0.125105688828
0.1,has_saved___policy___ethiopia_2015,0.104269126358,0.143614994519,0.132951384893
0.1,number_of_water_storage_pit_owned___policy___ethiopia_2015,0.0884675880252,0.160101470185,0.143614994519
0.1,quantity_of_improved_seeds_used___policy___ethiopia_2015,0.0605177332801,0.166316787167,0.160101470185
0.1,number_of_axe_owned___policy___ethiopia_2015,0.0540748509575,0.194763354559,0.166316787167
0.1,number_of_sickle_owned___policy___ethiopia_2015,0.0446318703588,0.233665283155,0.194763354559
0.1,uses_credit___policy___ethiopia_2015,0.0433345727212,0.306426123811,0.233665283155
0.1,illness_of_household_member___policy___ethiopia_2015,0.0375508706396,0.371111384035,0.306426123811
0.1,has_borrowed___policy___ethiopia_2015,0.0283740400192,0.469286424699,0.371111384035
0.1,owns_land_certificate___policy___ethiopia_2015,0.0197871314773,0.550623503888,0.469286424699
0.1,number_of_pick_axe_owned___policy___ethiopia_2015,0.0316467669148,0.806627091234,0.550623503888
0.1,amount_of_assistance_received___policy___ethiopia_2015,0.0149566900055,0.927454338524,0.806627091234
1,number_of_hired_workers___policy___ethiopia_2015,0.406524609639,0.121195976531,0
1,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,0.185387694702,0.139910402108,0.121195976531
1,number_of_oxen_owned___policy___ethiopia_2015,0.154349199621,0.11816452906,0.139910402108
1,prevent_damage___policy___ethiopia_2015,0.153297622208,0.118325234823,0.11816452906
1,uses_extension_program___policy___ethiopia_2015,0.175001449718,0.12510171886,0.118325234823
1,number_of_plough_owned___policy___ethiopia_2015,0.167561287231,0.127967648371,0.12510171886
1,has_saved___policy___ethiopia_2015,0.126287891207,0.143511469299,0.127967648371
1,uses_credit___policy___ethiopia_2015,0.100597310259,0.157112976943,0.143511469299
1,number_of_water_storage_pit_owned___policy___ethiopia_2015,0.0919098083565,0.181389580392,0.157112976943
1,number_of_axe_owned___policy___ethiopia_2015,0.066818174475,0.19034289555,0.181389580392
1,quantity_of_improved_seeds_used___policy___ethiopia_2015,0.080762779707,0.232691496157,0.19034289555
1,has_borrowed___policy___ethiopia_2015,0.0635845404388,0.277719500643,0.232691496157
1,owns_land_certificate___policy___ethiopia_2015,0.086884090475,0.307255375596,0.277719500643
1,illness_of_household_member___policy___ethiopia_2015,0.112698424487,0.387049858504,0.307255375596
1,amount_of_assistance_received___policy___ethiopia_2015,0.132038389895,0.455413161721,0.387049858504
1,number_of_sickle_owned___policy___ethiopia_2015,0.11715361514,0.536787657171,0.455413161721
1,number_of_pick_axe_owned___policy___ethiopia_2015,0.446679896459,0.977421145449,0.536787657171
10,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,1.5570840762,0.12286979873,0
10,number_of_hired_workers___policy___ethiopia_2015,0.220321948687,0.111347267021,0.12286979873
10,number_of_oxen_owned___policy___ethiopia_2015,0.41504938383,0.122363370055,0.111347267021
10,uses_extension_program___policy___ethiopia_2015,0.460995046691,0.11773766572,0.122363370055
10,number_of_plough_owned___policy___ethiopia_2015,0.373705336416,0.116244007238,0.11773766572
10,illness_of_household_member___policy___ethiopia_2015,0.580386477782,0.121811189289,0.116244007238
10,owns_land_certificate___policy___ethiopia_2015,0.63377316248,0.161024741694,0.121811189289
10,has_saved___policy___ethiopia_2015,0.908948666072,0.182733975635,0.161024741694
10,amount_of_assistance_received___policy___ethiopia_2015,0.727416483946,0.222440670366,0.182733975635
10,has_borrowed___policy___ethiopia_2015,0.333700677756,0.229146039358,0.222440670366
10,number_of_axe_owned___policy___ethiopia_2015,0.402952944597,0.207375500688,0.229146039358
10,prevent_damage___policy___ethiopia_2015,1.49375432627,0.34143724167,0.207375500688
10,number_of_water_storage_pit_owned___policy___ethiopia_2015,0.570709798868,0.299964077497,0.34143724167
10,number_of_pick_axe_owned___policy___ethiopia_2015,1.14236236056,0.373880885573,0.299964077497
10,uses_credit___policy___ethiopia_2015,1.65891850068,0.505254114077,0.373880885573
10,number_of_sickle_owned___policy___ethiopia_2015,1.01271121815,0.552717557246,0.505254114077
10,quantity_of_improved_seeds_used___policy___ethiopia_2015,3.15797391518,0.862439787754,0.552717557246
100,has_saved___policy___ethiopia_2015,14.9387870585,0.124197111883,0
100,amount_of_assistance_received___policy___ethiopia_2015,2.55596971619,0.141302371347,0.124197111883
100,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,2.02428447927,0.152034355299,0.141302371347
1000,uses_credit___policy___ethiopia_2015,137.356973864,0.134105914945,0
1000,has_saved___policy___ethiopia_2015,18.7627176727,0.127539515071,0.134105914945
1000,amount_of_assistance_received___policy___ethiopia_2015,28.5519434506,0.147677996523,0.127539515071
1000,has_borrowed___policy___ethiopia_2015,9.90314300635,0.132690760867,0.147677996523
1000,prevent_damage___policy___ethiopia_2015,37.674183941,0.170211807891,0.132690760867
10000,has_saved___policy___ethiopia_2015,1483.74293999,0.122941910901,0
10000,amount_of_assistance_received___policy___ethiopia_2015,270.085305792,0.128399675771,0.122941910901
10000,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,317.821185237,0.151785169598,0.128399675771
10000,uses_extension_program___policy___ethiopia_2015,93.7344747655,0.123757849793,0.151785169598
10000,owns_land_certificate___policy___ethiopia_2015,325.456981305,0.134883538038,0.123757849793
10000,number_of_plough_owned___policy___ethiopia_2015,279.357426107,0.133706226893,0.134883538038
10000,number_of_oxen_owned___policy___ethiopia_2015,341.869146826,0.133436265296,0.133706226893
10000,illness_of_household_member___policy___ethiopia_2015,910.388335092,0.1852596836,0.133436265296
10000,has_borrowed___policy___ethiopia_2015,483.757766964,0.204707298493,0.1852596836
10000,prevent_damage___policy___ethiopia_2015,552.541435463,0.259946128348,0.204707298493
10000,number_of_hired_workers___policy___ethiopia_2015,238.881117707,0.197509188431,0.259946128348
10000,quantity_of_improved_seeds_used___policy___ethiopia_2015,1209.94372226,0.318497485496,0.197509188431
10000,number_of_axe_owned___policy___ethiopia_2015,523.428937561,0.321113338028,0.318497485496
10000,number_of_pick_axe_owned___policy___ethiopia_2015,1532.94643049,0.441602553924,0.321113338028
10000,uses_credit___policy___ethiopia_2015,1812.96114121,0.616590600734,0.441602553924
10000,number_of_sickle_owned___policy___ethiopia_2015,751.683696483,0.641069038368,0.616590600734
10000,number_of_water_storage_pit_owned___policy___ethiopia_2015,3507.97810495,0.991858089616,0.641069038368
